2952,0,2180,2180
2952,1,1594,1594
2952,2,1241,1241
2952,3,464,464
2953,0,0,0
2953,1,30,30
2953,2,61,61
2953,3,129,129
2954,0,39,39
2954,1,57,57
2954,2,52,52
2954,3,82,82
2955,0,1995,1995
2955,1,1370,1370
2955,2,986,986
2955,3,316,316
2957,0,37,37
2957,1,92,92
2957,2,167,167
2957,3,428,428
2958,0,35,35
2958,1,27,27
2958,2,12,12
2958,3,0,0
2959,0,1305,1305
2959,1,857,857
2959,2,519,519
2959,3,353,353
2960,0,35,35
2960,1,270,270
2960,2,362,362
2960,3,671,671
2962,0,999,999
2962,1,722,722
2962,2,548,548
2962,3,165,165
2963,0,1642,1642
2963,1,1078,1078
2963,2,739,739
2963,3,324,324
2964,0,209,209
2964,1,382,382
2964,2,611,611
2964,3,1510,1510
2965,0,0,0
2965,1,100,100
2965,2,204,204
2965,3,433,433
2966,0,28,28
2966,1,159,159
2966,2,206,206
2966,3,341,341
2969,0,1506,1506
2969,1,1077,1077
2969,2,842,842
2969,3,273,273
2970,0,0,0
2970,1,100,100
2970,2,116,116
2970,3,151,151
2971,0,0,0
2971,1,22,22
2971,2,45,45
2971,3,96,96
2972,0,0,0
2972,1,22,22
2972,2,45,45
2972,3,96,96
2973,0,30,30
2973,1,44,44
2973,2,74,74
2973,3,164,164
2974,0,0,0
2974,1,63,63
2974,2,128,128
2974,3,271,271
2975,0,0,0
2975,1,22,22
2975,2,45,45
2975,3,96,96
2987,0,0,0
2987,1,44,44
2987,2,96,96
2987,3,149,149
2988,0,0,0
2988,1,22,22
2988,2,45,45
2988,3,96,96
3026,0,677,677
3026,1,471,471
3026,2,324,324
3026,3,0,0
3027,0,0,0
3027,1,29,29
3027,2,38,38
3027,3,65,65
3029,0,0,0
3029,1,21,21
3029,2,42,42
3029,3,237,237
3030,0,0,0
3030,1,112,112
3030,2,213,213
3030,3,343,343
3032,0,0,0
3032,1,43,43
3032,2,108,108
3032,3,220,220
3033,0,0,0
3033,1,120,120
3033,2,120,120
3033,3,120,120
3035,0,0,0
3035,1,20,20
3035,2,20,20
3035,3,20,20
3036,0,1332,1332
3036,1,930,930
3036,2,500,500
3036,3,164,164
3038,0,0,0
